аб;"(ав I, ай , аба мн. I, ар, мн. ;;PNCT
абагван;(абáгваᴴлъ,–аби);лопатка;NOUN
абагван;(абáгваᴴлъ,–аби);плечо;NOUN
абагьар;;масд. гл. абáгьила;UNKN
абагьар;(–лъ);отек;NOUN
а=б=агьи=ла;(–а,–ас̄,–абé,–б/о,–ӣйāх);опухать;INFN
абадийа=б;;вечный;ADJF
абадин-абада̄л̄ъир;;никогда;ADVB
абадин-абадил̄ъи;;никогда;ADVB
абарона;(–лъ/–лъилъ);оборона;NOUN
абарот;(–лъи лъ);оборот;NOUN
абат=ала;;;PNCT
абатар;;масд. гл. абáтила;UNKN
абатар;(–лъ);течка;NOUN
абатар;(–лъ);баловство;NOUN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);шевелить;INFN
абатата=йла;(–л,–лас̄,–лá,–л̄о,–лēх);раскачивать;INFN
абататалар;;масд. гл. абататáйла;UNKN
абататалар;(–лъ);шевеление;NOUN
абататалар;(–лъ);раскачивание;NOUN
абататар;;масд. гл. абáтатила;UNKN
абататар;(–лъ);шевеление;NOUN
абататар;(–лъ);шатание;NOUN
абататар;(–лъ);подергивание;NOUN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шевелиться;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);шататься;INFN
абатати=ла;(абáта,–ас̄,–абé,–а/б/о,–āх);подергиваться;INFN
абат=а̄ла;;;PNCT
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);быть в течке;INFN
абати=ла;(–ø,–ас̄,–бе,–б/о,–āх);баловаться;INFN
абатит=або;;см. титвáдила;UNKN
абгунийа=б;;см. áбщинаб;UNKN
абдар;;масд. гл. áбдила;UNKN
абдар;(–лъ);чистка;NOUN
абди=ла;(–ø,–ас̄,–а,–б/о,–āх);чистить;INFN
абе;(авé I,айé , абá мн. I, арé мн. );вот;PRCL
абейав;;вот;PRCL
абейай;;вот;PRCL
аб̄е;;вот;PRCL
абицар=апицер;(–щу/б,–заби);офицер;NOUN
абицарлгьар;(–лъ);офицерство;NOUN
апицант;(–щу/б,–заби);официант;NOUN
абтабиагра̄пийа;(–лъ,–би);автобиография;NOUN
авт̄обуз;(–улъ,–аби);автобус;NOUN
абтобус;(–улъ,–аби);автобус;NOUN
абтамат;(–илъ,–аби);автомат;NOUN
абтаномийа;(–лъ);автономия;NOUN
абтаномийаб;;автономный;ADJF
абтар;(–щу/б,–лъилъ,–заби);автор;NOUN
абтека;(–лъилъ,–аби);аптека;NOUN
абтикар;(–щуб,–лъилъ);аптекарь;NOUN
а=б=це=бел;(–щу/б,–лъилъ , ,–арýб мн.I,–арýлъ мн. );этот;ADJF
абцеӀила=ацебӀир;;в последнее время;NOUN
абцекъа̄л̄ъир;;в последнее время;NOUN
абшижит;(–илъ,–аби);общежитие;NOUN
абщежитийа;(–илъ,–аби);общежитие;NOUN
абщина=б=ащина=б;;столько;NUMR
авадана=б;;веселый;ADJF
авал;(–лъ,–áби);дом;NOUN
авал-ахир;(–лъ);пределы;NOUN
авал-ахир;(–лъ);ясность;NOUN
авара;(–лъ,–би);препятствие;NOUN
авара;(–лъ,–би);хлопоты;NOUN
авараг;(–щу/б,–заби);пророк;NOUN
аварийа;(–лъ,–би);авария;NOUN
аванс;(–илъ,–аби);аванс;NOUN
аваᵸтура;(–лъ,–би);авантюра;NOUN
аваᵸтурист;(–щуб,–заби);авантюрист;NOUN
аваᵸтуриска;(–лъ,–би);авантюристка;NOUN
августбо̄с̄Ӏ;(–улъ);август;NOUN
авейав;;вот;PRCL
авейай;;вот;PRCL
агитатур;(–щу/б,–лъилъ,–заби);агитатор;NOUN
акитацийа;(–лъ);агитация;NOUN
агитпуᵸкут;(–улъ,–аби);агитпункт;NOUN
аграном;(–щу/б,–лъилъ);агроном;NOUN
агъаз;(–илъ);забота;NOUN
агъаз;(–илъ);важность;NOUN
агъазвачӀу=б;;беспечный;ADJF
агъазвачӀу=б;;неважный;ADJF
агь;(–илъ);виноград;NOUN
агьа̄рахӣс;;поверхностно;ADJS
агьа̄рахӣс;;поверхностный;ADJF
агьецӀа=йла;(–л,–лас̄,–лá,–л̄о,–лēх);поднимать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);вставать;INFN
агьецӀи=ла;(–ø,–ас̄,–б,–б/о,–е́̄х);подниматься;INFN
агьи;;наверх;ADVB
агьи;;выше;NOUN
агьи;;на;INTJ
агьибугьа=йла;(–л,–лас̄,–лá, л̄о,–лēх);повторять;INFN
агьикьи;;вниз;ADVB
агьикъайди=ла;(–ø,–ас̄,–бе,–б/о,–āх);поручать;INFN
агьикьимакӀва;(–лъ,–би);сад;NOUN
агьикьих̄у=б;;крутой;ADJF
агьила;;еще;PRCL
агьила;;напротив;ADVB
агьила;;вдобавок;ADVB
агьилалъа̄би;;в будущем году;NOUN
агьим;(–улъ,–аби);балка;NOUN
агьӣс;;сверху;PREP
агьӣс;;с;NOUN
агьӣс;;верхний;ADJF
агьӣс=ба=гъу=ла;(–ø, агьӣс̄багъвас̄, агьӣс̄багъва,–б/о, агьӣс̄багъвēх);просить прощения;INFN
агьӣс=б=елъила;(–ø,–ас̄,–бе,–б/о,–ēх);прощать;INFN
агьӣс=б=елъу=б;;ловкий;ADJF
агьихинди;;выше;NOUN
агьло;(–лъ/–лъилъ, собир.);люди;NOUN
агьо̄лела;(–улъ,–иби);тыльная сторона ладони;ADJF
адаб;(–илъ);вежливость;NOUN
адабе;;вот;PRCL
адабочӀу=б;;невоспитанный;ADJF
адабейав;;вот;PRCL
адабейай;;вот;PRCL
адабийат;(–илъ);литература;NOUN
адаб-хъатир;(–лъ);уважительность;NOUN
адабчӀана̄с;;вежливый;ADJF
адабида=б;;вежливый;ADJF
арам;(–улъ);человек;NOUN
адамвачӀу=б;;одинокий;ADJF
адамгьела=ба;;человечный;ADJF
адарейав;;вот;PRCL
адарейай;;вот;PRCL
адвакат;(–щу/б,–лъилъ,–заби);адвокат;NOUN
адийал;(–лъ,–аби);одеяло;NOUN
адикалон;(адикалóНлъ/адикалóНлъилъ,–аби);одеколон;NOUN
адрис;(–илъ,–аби);адрес;NOUN
а̄деленийа;(–лъ,–би);отделение;NOUN
а̄дил;(–лъилъ,–аби);отдел;NOUN
адж̄и=ла;(–ø,–ēс̄,–ē, б/о,–ийāх);поцеловать;INFN
азал;(–лъ,–аби);долото;NOUN
азалийа=б;;вечный;ADJF
азалийа=б;;предопределенный;PRTF
азалу=б;;постный;ADJF
азалъ;(–улъ,–аби);дверная коробка;ADJF
азарда;;тысяча;NOUN
азарда̄л̄ъир;;тысяча;NOUN
азарчӀекӀу=б;;тысяча;NOUN
азбар;(–лъ,–ал);двор;NOUN
аздагьо;(–лъ, аздагьвáби);дракон;NOUN
аздагьо;(–лъ, аздагьвáби);злой человек;ADJF
азербижана=в;(–щу/б,–ди);азербайджанец;NOUN
азербижанади;(–уб);азербайджанцы;NOUN
азербижанай;(–л̄ъ̄илъ, азербижáнади);азербайджанка;NOUN
ази-азарда;;тысяча;NOUN
айат;(–илъ,–аби);стих;NOUN
ай̄е;;вот;PRCL
ай̄о;;вот;PRCL
айрадром;(–лъилъ,–аби);аэродром;NOUN
акв̄е=ла;(–ø,–с̄,–ø,–б/о,–йāх);косить;INFN
акве̄р;(–лъилъ);жатва;NOUN
акийан;(акийáНлъилъ,–аби);океан;NOUN
акта;(–лъ,–би);акт;NOUN
актабирбо̄с̄Ӏ;(–улъ);октябрь;NOUN
акушерка;(–лъ,–би);акушерка;NOUN
акъвакь;(–илъ,–аби);навес;NOUN
акъвар;;масд. гл. áкъула;UNKN
акъвар;(–лъ);кровля;NOUN
акъо;(–лъ,–би);конура;NOUN
акъо;(–лъ,–би);шалаш;NOUN
акъо;(–лъ,–би);лачуга;NOUN
акӀвама=аркӀвама;(–лъ,–би);стреха;NOUN
акӀвама=аркӀвама;(–лъ,–би);козырек;NOUN
акӀвама=аркӀвама;(–лъ,–би);фуражка;NOUN
ал;(–илъ,–аби);лист;NOUN
ал;(–илъ,–аби);листва;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);плита;NOUN
ала;(–илъ,–иби);стойло;NOUN
алара;(–лъ,–би);стог;NOUN
алат;(–илъ, собир.);инструмент;NOUN
алахъ;(–лъилъ,–аби);глушь;NOUN
алахъ;(–лъилъ,–аби);пастбище;NOUN
алахъ;(–лъилъ,–аби);пустое место;ADJF
албом=албум;(албóНлъилъ,–аби);альбом;NOUN
алгьа=б;"(–в I,–й ,–ба мн. I,–р мн. ;pron;LATN
кьантӀалгьи=ла;(ø,–ас̄,–бé,–б/о,–ēх);крепчать;INFN
кьаᵸтӀ̄е=ла;(–ø,–с̄,–ø,–б/о,–х);закреплять;INFN
кьаᵸтӀ̄ер;;масд. гл. кьаᴴтIе́̄ла;UNKN
кьаᵸтӀ̄ер;(–лъ);крепление;NOUN
кьанчӀа;;см. кIерт;UNKN
кьвагь;;звукоподражание выстрелу;NOUN
кьвагьагьида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);стрелять;INFN
кьвагьагьида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);взрывать;INFN
кьвагьагьидалар;;масд. гл. кьвагьáгьидайла;UNKN
кьвагьагьидалар;(–лъилъ);стрельба;NOUN
кьвагьагьидалар;(–лъилъ);взрывы;NOUN
кьвагьагьидар;;масд. гл. кьвагьáгьидила;UNKN
кьвагьагьидар;(–лъилъ);выстрелы;NOUN
кьвагьагьидар;(–лъилъ);взрывы;NOUN
кьвагьида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);стрелять;INFN
кьвагьида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);взрывать;INFN
кьвагьида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);задать;INFN
кьвагьидалар;;масд. гл. кьвáгьидайла;UNKN
кьвагьидалар;(–лъилъ);стрельба;NOUN
кьвагьидалар;(–лъилъ);произведение взрыва;NOUN
кьвагьидалар;(–лъилъ);причинение неприятности;NOUN
кьвагьидалар;(–лъилъ);высказывание;NOUN
кьвагьидар;;масд. гл. кьвáгьидила;UNKN
кьвагьидар;(–лъилъ);выстрел;NOUN
кьвагьидар;(–лъилъ);взрыв;GRND
кьвагьидар;(–лъилъ);разрыв;GRND
кьвагьиди=ла;(–ø,–ас̄,–бé,–б/о,–āх);раздаваться;INFN
кьвагьиди=ла;(–ø,–ас̄,–бé,–б/о,–āх);взрываться;INFN
кьвагьиди=ла;(–ø,–ас̄,–бé,–б/о,–āх);лопаться;VERB
кьвагьиди=ла;(–ø,–ас̄,–бé,–б/о,–āх);высказать;INFN
кьвай=ла;(–ø, кьвас̄, кьвā,–б/о, кьвад́а̄х);обивать;INFN
кьвай=ла;(–ø, кьвас̄, кьвā,–б/о, кьвад́а̄х);бить;INFN
кьвай=ла;(–ø, кьвас̄, кьвā,–б/о, кьвад́а̄х);играть;INFN
кьвай=ла;(–ø, кьвас̄, кьвā,–б/о, кьвад́а̄х);колотить;INFN
кьвай=ла;(–ø, кьвас̄, кьвā,–б/о, кьвад́а̄х);забивать;INFN
кьвай=ла;(–ø, кьвас̄, кьвā,–б/о, кьвад́а̄х);размягчать;INFN
кьвакьвадар;;масд. гл. кьвакьвáдила;UNKN
кьвакьвадар;(–лъилъ);обивание;NOUN
кьвакьвадар;(–лъилъ);ковка;ADJS
кьвакьвадар;(–лъилъ);поколачивание;NOUN
кьвакьвадар;(–лъилъ);избиение;NOUN
кьвакьвадар;(–лъилъ);вколачивание;NOUN
кьвакьвадар;(–лъилъ);размягчение;NOUN
кьвакьвади=ла;(–ø,–ас̄,–á,–б/о,–āх);избивать;INFN
кьвакьвади=ла;(–ø,–ас̄,–á,–б/о,–āх);ковать;INFN
кьвакьвади=ла;(–ø,–ас̄,–á,–б/о,–āх);колотить;INFN
кьвакьвади=ла;(–ø,–ас̄,–á,–б/о,–āх);размягчать;INFN
кьвакьвар;(–лъ);треск;NOUN
кьварида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);проявлять твердость;INFN
кьваридалар;;масд. гл. кьвáридайла;UNKN
кьваридалар;(–лъилъ);проявление твёрдости;NOUN
кьваридар;;масд. гл. кьвáридила;UNKN
кьваридар;(–лъилъ);храбрость;NOUN
кьваридар;(–лъилъ);твердость;NOUN
кьвариди=б=о;;деепр. гл. кьвáридила;UNKN
кьвариди=б=о;;храбро;ADJS
кьвариди=б=о;;стойко;ADJS
кьвариди=ла;(–ø,–ас̄,–бé,–б/о,–āх);храбриться;INFN
кьвариди=ла;(–ø,–ас̄,–бé,–б/о,–āх);быть твердым;INFN
кьвариду=б;;смелый;ADJF
кьвариду=б;;молодцеватый;ADJF
кьвар-къвариду=б;;бодрый;ADJF
кьватӀидала;;см. чIӣкьидила;UNKN
кьватӀидар;;масд. гл. кьвáтIидила;UNKN
кьватӀидар;(–лъ);тресканье;NOUN
кьватӀиди=ла;(–ø,–ас̄,–бе,–б/о,–āх);трескаться;INFN
кьвахӀли;;кривой;ADJF
кьва̄р;;масд. гл. кьвáйла;UNKN
кьва̄р;(–лъ);обивание;NOUN
кьва̄р;(–лъ);поколачивание;NOUN
кьва̄р;(–лъ);избиение;NOUN
кьва̄р;(–лъ);игра;NOUN
кьва̄р;(–лъ);стук;INTJ
кьва̄р;(–лъ);забивка;NOUN
кьва̄р;(–лъ);размягчение;NOUN
кьваᵸй;(–лъ);ржавчина;NOUN
кьваᵸйх̄а=йла;(–л,–лас̄,–лá,–л̄о,–лēх);понуд. от кьвáᴴйх̄ила;UNKN
кьванйх̄ар;;масд. гл. кьвáᴴйх̄ила;UNKN
кьванйх̄ар;(–лъ);ржавление;NOUN
кьванйх̄и=ла;(–ø,–áс̄,–бé,–б/о,–е́̄х);ржаветь;INFN
кьваᵸйх̄у=б;;прич. гл. кьвáᴴйх̄ила;UNKN
кьваᵸйх̄у=б;;ржавый;ADJF
кьеб;(у–лъ);полдень;NOUN
кьебулах;;в полдень;NOUN
кьегъа=йна;(–н,–нас̄,–нá,–аᴴл̄о,–нēх);пучить;INFN
кьегъанар;;масд. гл. кьéгъайна;UNKN
кьегъанар;(–лъилъ);вздувание;NOUN
кьегъаᵸр;;масд. гл. кьéгъина;UNKN
кьегъаᵸр;(–лъилъ);вздувание;NOUN
кьегъаᵸр;(–лъилъ);упругость;NOUN
кьегъан;;масд. гл. кьéгъина;UNKN
кьегъан;(–лъилъ);вздувание;NOUN
кьегъан;(–лъилъ);упругость;NOUN
кьегъи=на;(–аᴴ,–аᴴс̄,–амé,–а/м/о,–нāх);надуваться;INFN
кьегъи=на;(–аᴴ,–аᴴс̄,–амé,–а/м/о,–нāх);наливаться;INFN
кьедар;(–лъ);танец;NOUN
кьедер;(–улъ, кьӣла);ягненок;NOUN
кьеди=ла;(–ø,–áс̄,–бé,–б/о,–́а̄х);танцевать;INFN
кьекьел;(–лъ,–аби);седло верховое;NOUN
кьем;(–лъ/–улъ);пшеница;NOUN
кьер;(–илъ,–аби);цвет;NOUN
кьер;(–илъ,–аби);слой;NOUN
кьер;(–ӣлъ/–ýлъ,–аби);мост;NOUN
кьера=б;(лъ);цвета;NOUN
кьер-мухъ;(–илъ);цвет;NOUN
кьетӀв;(кьéтIулъ,–аби);лен;NOUN
кьетӀв;(кьéтIулъ,–аби);семечко;NOUN
кьетӀва=йла;(–л,–лас̄,–лá,–л̄о,–лēх);ликвидировать;INFN
кьетӀв=ила;(кьéтIу,–áс̄, кьетIубé, кьéтIу/б/о,–е́̄х);пропасть;NOUN
кье̄;(–лъ);зола;NOUN
кье̄н;;масд. гл. кье́̄на;UNKN
кье̄н;(кьеᴴлъ);усыпление;NOUN
кь̄ена;(кьēᴴ, кьēᴴс̄, кьēᴴмé, кье́̄Н/в/о/кье́̄/м/о/, кьéнāх);спать;INFN
кь̄енар;;масд. гл. кье́̄нила;UNKN
кь̄енар;(–лъ);засыпание;NOUN
кье̄нийо̄=б;;прич. гл. кье́̄нила;UNKN
кье̄нийо̄=б;;снотворный;ADJF
кь̄енила;(кье́̄ни, кьēнáс̄, кьēнá, кьéН/б/о/кьé/м/о, кьéнāх);усыплять;INFN
кьеᵸ̄сел;(–лъ,–áби);бровь;NOUN
кьеᵸчӀел;(–ýлъ,–и);заяц;NOUN
кьиб;(–илъ);пена;NOUN
кьиб;(–улъ,–аби);колонна;NOUN
кьивра;(–лъ,–би);сойка;NOUN
кьижва;(–лъ,–би);оса;NOUN
кьил;(–лъ,–аби);ряд;NOUN
кьил;(–лъ,–аби);клетка;NOUN
кьил;(–лъ,–аби);стопка;NOUN
кьикьир-кьваквар;;звукоподражание скрипу качающихся от ветра деревьев;NOUN
кьикьиро;(–лъ, собир.);сосновый хворост;ADJF
кьилихъан;(кьилӣхъаᴴлъ,–аби);корзина;NOUN
кьирида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);навострить уши;INFN
кьичвара;(–лъ,–би);ласточка;NOUN
кьиᵸкӀ;(звукоподражание отказу или отрицательному ответу на вопрос);нет;INTJ
кьиᵸщӀилбакъвайда=йла;(–л,–лас̄,–ла,–л̄о,–лēх);изничтожить;INFN
кьолойда=йла;(–л,–лас̄,–лá,–л̄о,–лēх);готовить;INFN
кьолойдалар;;масд. гл. кьолóйдайла;UNKN
кьолойдалар;(–лъ);седловка;NOUN
кьолойдар;;масд. гл. кьолóйдила;UNKN
кьолойдар;(–лъилъ);приготовления к отправке;NOUN
кьолойди=ла;(–ø,–ас̄,–бé,–б/о,–āх);готовиться;INFN
кьор;(–лъ,–аби);выползок;NOUN
кьор;(–лъ,–аби);одежда;NOUN
кьор;(–ӣлъ,–аби);скала;NOUN
кьура=б;;см. чиᴴчýб;UNKN
кьура̄ла;;см. чӣНчēла;UNKN
кьуралъала;;см. чӣНчилгьила;UNKN
кьурида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);завинчивать;INFN
кьурида=йла;(–л,–лас̄,–лá,–л̄о,–лēх);сдвигать;INFN
кьуридалар;;масд. гл. кьýридайла;UNKN
кьуридалар;(–лъилъ);завинчивание;NOUN
кьуридар;;масд. гл. кьýридила;UNKN
кьуридар;(–лъилъ);завинчивание;NOUN
кьуридар;(–лъилъ);сдвиг;NOUN
кьуриди=ла;(–ø,–ас̄,–бé,–б/о,–āх);завинчиваться;INFN
кьуриди=ла;(–ø,–ас̄,–бé,–б/о,–āх);сдвигаться;INFN
кьуркьуди=ла;(–ø,–ас̄,–бе,–б/о,–āх);ворочаться;INFN
кьуркьуридар;;масд. гл. кьуркьýридила;UNKN
кьуркьуридар;(–лъилъ);ёрзанье;NOUN
кьуркьуридар;(–лъилъ);отнекивание;NOUN
кьуркьуридар;(–лъилъ);манерничанье;NOUN
кьуркьуриди=ла;(–ø,–ас̄,–бе,–б/о,–āх);ёрзать;INFN
кьуркьуриди=ла;(–ø,–ас̄,–бе,–б/о,–āх);отнекиваться;INFN
кьуркьуриди=ла;(–ø,–ас̄,–бе,–б/о,–āх);ломаться;INFN
кьутӀ;(–илъ,–аби);газ;NOUN
кьучӀ;(–илъ,–аби);основание;NOUN
кьущӀ;(–илъ);точность;NOUN
кьущӀ;(–илъ);надёжность;NOUN
кьущӀа=б;;достоверный;ADJF
кьущӀа=б;;надёжный;ADJF
кьущӀала;;см. чIвáнкъотIидибо;UNKN
кьущӀату=б;;непостоянный;ADJF
кьущӀату=б;;ненадёжный;ADJF
кьущӀату=б;;недостоверный;ADJF
кьущӀила;;лок. п. I серии от кьущI;UNKN
кьущӀила;;надёжно;ADJS
кьущӀила;;конкретно;ADJS
кьн̄са;(–лъ,–би);можжевельник;NOUN
кьӯнй;(–лъ,–би);ость;NOUN
кьӯнй;(–лъ,–би);ресницы;NOUN
кьуᵸл̄ъимакӀва;(–лъ);островок;NOUN
кӀаба;(–лъ,–би);плащ–накидка;NOUN
кӀабли;(–лъ);капли (мятные);NOUN
кӀабучӀали;(–лъ,–аби);болтун;NOUN
кӀабчӀара=йла;(л,–лас̄,–ла,–л̄о,–лēх);слопать;INFN
кӀабщӀа;(–лъ,–би);неряха;NOUN
кӀабщӀах̄а=йла;(–л,–лас̄,–лá,–л̄о,–лēх);пачкать;INFN
кӀабщӀах̄а=йла;(–л,–лас̄,–лá,–л̄о,–лēх);захламлять;INFN
кӀабщӀах̄алар;;масд. гл. кIабщIах̄áйла;UNKN
кӀабщӀах̄алар;(–лъилъ);загрязнение;NOUN
кӀабщӀах̄алар;(–лъилъ);захламление;NOUN
кӀабщӀах̄ар;;масд. гл. кIабщIáх̄ила;UNKN
кӀабщӀах̄ар;(–лъилъ);загрязненность;NOUN
кӀабщӀах̄ар;(–лъилъ);захламленность;NOUN
кӀабщӀах̄и=ла;(–ø,–áс̄,–бé,–б/о,–́а̄х);пачкаться;INFN
кӀабщӀах̄и=ла;(–ø,–áс̄,–бé,–б/о,–́а̄х);захламляться;INFN
кӀабщӀах̄у=б=кӀащӀаху=б;;грязный;ADJF
кӀабщӀах̄у=б=кӀащӀаху=б;;захламленный;PRTF
кӀавунда=йла;(–л,–лас̄,–лá,–л̄о,–лēх);понуд. от кIавýНдила;UNKN
кӀавундар;;масд. гл. кIавýНдила;UNKN
кӀавундар;(–лъилъ);скулёж;NOUN
кӀавундар;(–лъилъ);ворчливость;NOUN
кӀавунди=ла;(–ø,–ас̄,–бé,–б/о,–āх);скулить;INFN
кӀавунди=ла;(–ø,–ас̄,–бé,–б/о,–āх);ворчать;INFN
кӀаз;(–илъ,–аби);платок;NOUN
кӀакьибагӀар;(–лъ);сорт раннеспелых, краснощеких груш;NOUN
кӀакӀадар=кӀаркӀадар;;масд. гл. кIáкIадила/кIáркIадила;UNKN
кӀакӀадар=кӀаркӀадар;(–лъилъ);свисание;NOUN
кӀакӀади=ла=кӀаркӀади=ла;(–ø,–ас̄,–бé,–б/о,–āх);свисать;INFN
кӀал;(–илъ,–аби);ущелье;NOUN
кӀалабах̄у=б;;обрывистый;ADJF
кӀалгьикъидибо;;бессовестно;ADJS
кӀалгьикъидибо;;назло;ADVB
кӀалгьикъидибо;;без ограничения;PREP
кӀалтӀу;(–лъ,–би);вход;NOUN
кӀамур;(–лъ,–аби);арка;NOUN
кӀара;;см. щIáра;UNKN
кӀаркьам;;см. чIӣла;UNKN
кӀаркьим;(–лъ,–аби);вздутая щека;PRTF
кӀаркӀара=йла;(–л,–лас̄,–лá,–л̄о,–лēх);свешивать;INFN
кӀаркӀаралар;;масд. гл. кIаркIáрайла;UNKN
кӀаркӀаралар;(–лъилъ);свешивание;NOUN
кӀаркӀаридар;;масд. гл. кIаркIáридила;UNKN
кӀаркӀаридар;(–лъилъ);заливистый смех;ADJF
кӀаркӀариди=ла;(–ø,–ас̄,–бé,–б/о,–āх);заливаться смехом;INFN
кӀарчамӣс;;недобросовестный;ADJF
кӀарчамӣс;;непослушный;ADJF
кӀарчамлгьар;;масд. гл. кIарчáмлгьила;UNKN
кӀарчамлгьар;(–лъилъ);ослушание;NOUN
кӀарчамлгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);отлынивать;INFN
кӀарчамлгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);не слушаться;PRCL
кӀатӀара;(–лъ,–би);потник;NOUN
кӀач;(–илъ,–аби);шуба–накидка;NOUN
кӀашда=йла;(–л,–лас̄,–лá,–л̄о,–лēх);подбрасывать;INFN
кӀашда=йла;(–л,–лас̄,–лá,–л̄о,–лēх);играть;INFN
кӀашда=йла;(–л,–лас̄,–лá,–л̄о,–лēх);забавлять игрой;INFN
кӀащдалар;;масд. гл. кIáшдайла;UNKN
кӀащдалар;(–лъилъ);подбрасывание;NOUN
кӀащдалар;(–лъилъ);игра;NOUN
кӀашдар;;масд. гл. кIáшдила;UNKN
кӀашдар;(–лъилъ);игра;NOUN
кӀашди=ла;(–ø,–ас̄,–бé,–б/о,–āх);играть;INFN
кӀанцӀуда=йла;(–л,–лас̄,–лá,–ли/б/о,–лēх);понуд. от кIáНцIудила;UNKN
кӀаᵸцӀахъвар;;масд. гл. кIаᴴцIáхъула;UNKN
кӀаᵸцӀахъвар;(–лъилъ);подпрыгивание;NOUN
кӀаᵸцӀахъу=ла;(–ø, кIаᴴцIáхъвас̄,–бé,–б/о, кIаᴴцIáхъвāх);подпрыгивать;INFN
кӀанцӀидар;;масд. гл. кIáНцIудила/кIáНцIидила;UNKN
кӀанцӀидар;(–лъилъ);прыжок;NOUN
кӀанцӀидар;(–лъилъ);нападение;NOUN
кӀанцӀуди=ла=кӀаᵸцӀиди=ла;(–ø,–ас,–бе,–б/о,–āх);прыгнуть;INFN
кӀанцӀуди=ла=кӀаᵸцӀиди=ла;(–ø,–ас,–бе,–б/о,–āх);нападать;INFN
кӀаᵸчв;;см. чIаᴴщв;UNKN
кӀаᵸчулакьи;;см. мищ;UNKN
кӀвагьан;(кIвагьáНлъ);буза;NOUN
кӀвайди=ла;(–ø,–ас̄,–á,–б/о,–āх);отказать в просьбе;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);вбивать;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);прибивать;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);ударять;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);жалить;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);становить вертикально;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);прикладывать;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);дотрагиваться;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);прислоняться;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);пахтать;INFN
кӀвай=ла;(–ø, кIвāс̄, кIвá,–б/о,–дāх);вывозить;INFN
кӀвайща;;см. чIан;UNKN
кӀвакӀвадар;;масд. гл. кIвакIвáдила;UNKN
кӀвакӀвадар;(–лъилъ);забивка;NOUN
кӀвакӀвадар;(–лъилъ);подбивка;NOUN
кӀвакӀвадар;(–лъилъ);нанесение ударов;NOUN
кӀвакӀвадар;(–лъилъ);становление;NOUN
кӀвакӀвадар;(–лъилъ);приложение;NOUN
кӀвакӀвадар;(–лъилъ);дотрагивание;NOUN
кӀвакӀвадар;(–лъилъ);пахтанье;NOUN
кӀвакӀвади=ла;(–ø,–ас̄,–á,–б/о,–āх);наносить удары;INFN
кӀвакӀвади=ла;(–ø,–ас̄,–á,–б/о,–āх);забивать;INFN
кӀвану=б;;с отметиной на лбу;NOUN
кӀваран;(–лъ,–аби);буйволёнок;NOUN
кӀвардар;;масд. гл. кIвáрдила;UNKN
кӀвардар;(–лъилъ);мятье;NOUN
кӀвардар;(–лъилъ);топтанье;NOUN
кӀварди=ла;(–ø,–ас̄,–á,–б/о,–āх);мять;INFN
кӀварди=ла;(–ø,–ас̄,–á,–б/о,–āх);топтать;INFN
кӀвар-кӀвар;;ха–ха–ха;ADVB
кӀватӀа=б;;мелкий;ADJF
кӀватӀа=б;;густой;ADJF
кӀватӀалгьи=ла;(–ø,–ас̄,–ибе,–б/о,–ēх);мельчать;INFN
кӀватӀ̄е=ла;(–ø,–с̄,–é,–б/о,–éйāх);мельчить;INFN
кӀвахӀ;(–илъ);лень;NOUN
кӀвахӀ;(–илъ);спорыш;NOUN
кӀвахӀал;(–щу/б,–лъилъ,–аби);лентяй;NOUN
кӀвахӀала=б;;ленивый;ADJF
кӀвахӀалгьар;;масд. гл. кIвахIáлгьила;UNKN
кӀвахӀалгьар;(–лъилъ);леность;NOUN
кӀвахӀалгьи=ла;(–ø,–ас̄,–бé,–б/о,–ēх);лениться;INFN
